day,day_start,baseline,threshold_value,start,end,duration_min,peak_pm,mean_pm
2020-11-12,2020-11-12 00:00:00-07:00,10.0,15.0,2020-11-12 19:56:19-07:00,2020-11-12 20:02:19-07:00,6.0,16.54,16.226666666666663
2020-11-12,2020-11-12 00:00:00-07:00,10.0,15.0,2020-11-12 20:32:19-07:00,2020-11-12 20:38:19-07:00,6.0,16.07,15.813333333333333
2020-11-12,2020-11-12 00:00:00-07:00,10.0,15.0,2020-11-12 20:56:19-07:00,2020-11-12 21:08:19-07:00,12.0,62.05,29.91166666666666
2020-11-13,2020-11-13 00:00:00-07:00,10.0,15.0,2020-11-13 00:08:19-07:00,2020-11-13 00:20:19-07:00,12.0,133.98,68.865
2020-11-13,2020-11-13 00:00:00-07:00,10.0,15.0,2020-11-13 03:44:19-07:00,2020-11-13 03:46:19-07:00,2.0,20.72,20.72
2020-11-13,2020-11-13 00:00:00-07:00,10.0,15.0,2020-11-13 03:48:19-07:00,2020-11-13 03:58:19-07:00,10.0,27.98,22.278
2020-11-13,2020-11-13 00:00:00-07:00,10.0,15.0,2020-11-13 14:32:19-07:00,2020-11-13 14:40:19-07:00,8.0,67.95,41.1125
2020-11-13,2020-11-13 00:00:00-07:00,10.0,15.0,2020-11-13 15:16:19-07:00,2020-11-13 15:18:19-07:00,2.0,16.82,16.82
2020-11-13,2020-11-13 00:00:00-07:00,10.0,15.0,2020-11-13 21:30:19-07:00,2020-11-13 21:44:19-07:00,14.0,130.09,79.7042857142857
2020-11-13,2020-11-13 00:00:00-07:00,10.0,15.0,2020-11-13 23:56:19-07:00,2020-11-14 00:00:19-07:00,4.0,19.3,18.740000000000002
2020-11-14,2020-11-14 00:00:00-07:00,10.0,15.0,2020-11-14 00:00:19-07:00,2020-11-14 00:20:19-07:00,20.0,72.33,31.97
2020-11-14,2020-11-14 00:00:00-07:00,10.0,15.0,2020-11-14 05:14:19-07:00,2020-11-14 05:22:19-07:00,8.0,21.07,18.932499999999997
2020-11-14,2020-11-14 00:00:00-07:00,10.0,15.0,2020-11-14 22:44:20-07:00,2020-11-14 22:48:20-07:00,4.0,17.14,16.895
2020-11-14,2020-11-14 00:00:00-07:00,10.0,15.0,2020-11-14 22:58:20-07:00,2020-11-14 23:02:21-07:00,4.016666666666667,49.2,35.6
2020-11-15,2020-11-15 00:00:00-07:00,10.0,15.0,2020-11-15 04:56:20-07:00,2020-11-15 05:30:20-07:00,34.0,99.96,49.90117647058823
2020-11-15,2020-11-15 00:00:00-07:00,10.0,15.0,2020-11-15 09:28:20-07:00,2020-11-15 09:32:20-07:00,4.0,18.0,17.025
2020-11-15,2020-11-15 00:00:00-07:00,10.0,15.0,2020-11-15 18:08:20-07:00,2020-11-15 18:14:20-07:00,6.0,44.43,35.63333333333333
2020-11-15,2020-11-15 00:00:00-07:00,10.0,15.0,2020-11-15 18:34:20-07:00,2020-11-15 18:44:20-07:00,10.0,38.0,32.254
2020-11-15,2020-11-15 00:00:00-07:00,10.0,15.0,2020-11-15 20:10:20-07:00,2020-11-15 20:18:20-07:00,8.0,83.52,49.14
2020-11-15,2020-11-15 00:00:00-07:00,10.0,15.0,2020-11-15 20:20:21-07:00,2020-11-15 20:24:20-07:00,3.9833333333333334,17.63,17.305
2020-11-15,2020-11-15 00:00:00-07:00,10.0,15.0,2020-11-15 20:42:20-07:00,2020-11-15 20:44:20-07:00,2.0,19.21,19.21
2020-11-15,2020-11-15 00:00:00-07:00,10.0,15.0,2020-11-15 20:50:20-07:00,2020-11-15 20:56:20-07:00,6.0,55.61,43.696666666666665
2020-11-16,2020-11-16 00:00:00-07:00,10.0,15.0,2020-11-16 09:34:21-07:00,2020-11-16 12:16:21-07:00,162.0,26.65,21.76962962962963
2020-11-16,2020-11-16 00:00:00-07:00,10.0,15.0,2020-11-16 12:20:21-07:00,2020-11-16 12:24:21-07:00,4.0,15.93,15.585
2020-11-16,2020-11-16 00:00:00-07:00,10.0,15.0,2020-11-16 12:26:21-07:00,2020-11-16 12:28:21-07:00,2.0,15.07,15.07
2020-11-16,2020-11-16 00:00:00-07:00,10.0,15.0,2020-11-16 17:16:21-07:00,2020-11-16 17:18:21-07:00,2.0,15.03,15.03
2020-11-16,2020-11-16 00:00:00-07:00,10.0,15.0,2020-11-16 17:34:21-07:00,2020-11-16 17:54:21-07:00,20.0,143.07,50.13100000000001
2020-11-16,2020-11-16 00:00:00-07:00,10.0,15.0,2020-11-16 17:58:21-07:00,2020-11-16 18:00:21-07:00,2.0,15.07,15.07
2020-11-16,2020-11-16 00:00:00-07:00,10.0,15.0,2020-11-16 18:02:21-07:00,2020-11-16 18:04:21-07:00,2.0,15.17,15.17
2020-11-16,2020-11-16 00:00:00-07:00,10.0,15.0,2020-11-16 18:08:21-07:00,2020-11-16 21:26:21-07:00,198.0,144.27,30.06080808080808
2020-11-16,2020-11-16 00:00:00-07:00,10.0,15.0,2020-11-16 21:30:21-07:00,2020-11-16 22:46:21-07:00,76.0,20.24,16.731578947368423
2020-11-16,2020-11-16 00:00:00-07:00,10.0,15.0,2020-11-16 22:50:21-07:00,2020-11-16 22:52:21-07:00,2.0,15.43,15.43
2020-11-16,2020-11-16 00:00:00-07:00,10.0,15.0,2020-11-16 22:54:21-07:00,2020-11-16 22:56:21-07:00,2.0,15.11,15.11
2020-11-16,2020-11-16 00:00:00-07:00,10.0,15.0,2020-11-16 22:58:22-07:00,2020-11-16 23:00:22-07:00,2.0,15.57,15.57
2020-11-16,2020-11-16 00:00:00-07:00,10.0,15.0,2020-11-16 23:08:21-07:00,2020-11-16 23:10:21-07:00,2.0,15.65,15.65
2020-11-16,2020-11-16 00:00:00-07:00,10.0,15.0,2020-11-16 23:12:21-07:00,2020-11-16 23:36:21-07:00,24.0,18.35,16.49
2020-11-16,2020-11-16 00:00:00-07:00,10.0,15.0,2020-11-16 23:38:21-07:00,2020-11-16 23:40:21-07:00,2.0,16.18,16.18
2020-11-16,2020-11-16 00:00:00-07:00,10.0,15.0,2020-11-16 23:42:21-07:00,2020-11-17 00:00:21-07:00,18.0,17.89,16.974444444444444
2020-11-17,2020-11-17 00:00:00-07:00,17.08722222222222,25.630833333333328,2020-11-17 00:30:21-07:00,2020-11-17 00:38:21-07:00,8.0,50.74,45.052499999999995
2020-11-17,2020-11-17 00:00:00-07:00,17.08722222222222,25.630833333333328,2020-11-17 00:48:21-07:00,2020-11-17 01:02:25-07:00,14.066666666666666,38.17,32.03857142857142
2020-11-18,2020-11-18 00:00:00-07:00,10.0,15.0,2020-11-18 05:32:22-07:00,2020-11-18 05:36:22-07:00,4.0,21.88,20.25
2020-11-19,2020-11-19 00:00:00-07:00,10.0,15.0,2020-11-19 08:20:22-07:00,2020-11-19 08:46:22-07:00,26.0,43.93,30.422307692307694
