day,day_start,baseline,threshold_value,n_events,median_duration_min,iqr_duration_min
2021-01-12,2021-01-12 00:00:00-07:00,10.33311111111111,15.499666666666666,2,475.0,473.0
2021-01-13,2021-01-13 00:00:00-07:00,25.15544444444445,37.733166666666676,7,4.0,2.0
2021-01-14,2021-01-14 00:00:00-07:00,23.235555555555553,34.85333333333333,5,2.0,2.0
2021-01-15,2021-01-15 00:00:00-07:00,10.0,15.0,13,6.0,6.0
2021-01-16,2021-01-16 00:00:00-07:00,18.029555555555557,27.044333333333334,3,2.0,3.0
2021-01-17,2021-01-17 00:00:00-07:00,10.0,15.0,6,8.0,7.0
2021-01-18,2021-01-18 00:00:00-07:00,10.0,15.0,2,2.0,0.0
2021-01-19,2021-01-19 00:00:00-07:00,10.0,15.0,0,,
2021-01-20,2021-01-20 00:00:00-07:00,10.0,15.0,3,10.0,1.0
2021-01-21,2021-01-21 00:00:00-07:00,10.0,15.0,10,3.0,3.5
2021-01-22,2021-01-22 00:00:00-07:00,10.0,15.0,13,4.0,4.0
2021-01-23,2021-01-23 00:00:00-07:00,10.0,15.0,10,4.0,22.0
2021-01-24,2021-01-24 00:00:00-07:00,10.382777777777779,15.574166666666668,15,4.0,7.008333333333333
2021-01-25,2021-01-25 00:00:00-07:00,10.0,15.0,0,,
2021-01-26,2021-01-26 00:00:00-07:00,10.0,15.0,10,3.0,2.0
2021-01-27,2021-01-27 00:00:00-07:00,10.0,15.0,5,2.0,0.0
2021-01-28,2021-01-28 00:00:00-07:00,10.0,15.0,6,5.0,3.5
2021-01-29,2021-01-29 00:00:00-07:00,12.878555555555554,19.317833333333333,3,10.0,10.0
2021-01-30,2021-01-30 00:00:00-07:00,10.0,15.0,5,4.0,0.0
2021-01-31,2021-01-31 00:00:00-07:00,10.0,15.0,7,4.0,7.0
2021-02-01,2021-02-01 00:00:00-07:00,10.0,15.0,0,,
2021-02-02,2021-02-02 00:00:00-07:00,10.0,15.0,0,,
2021-02-03,2021-02-03 00:00:00-07:00,10.0,15.0,9,4.016666666666667,4.0
2021-02-04,2021-02-04 00:00:00-07:00,10.0,15.0,6,8.0,7.0
2021-02-05,2021-02-05 00:00:00-07:00,10.0,15.0,3,6.0,3.0
2021-02-06,2021-02-06 00:00:00-07:00,10.0,15.0,3,18.0,9.0
2021-02-07,2021-02-07 00:00:00-07:00,10.0,15.0,11,4.0,15.0
2021-02-08,2021-02-08 00:00:00-07:00,10.0,15.0,34,5.991666666666667,6.0
2021-02-09,2021-02-09 00:00:00-07:00,11.977613636363639,17.966420454545457,6,2.0,0.0
2021-02-10,2021-02-10 00:00:00-07:00,10.0,15.0,5,4.0,2.0
2021-02-11,2021-02-11 00:00:00-07:00,10.0,15.0,15,4.6,9.708333333333332
2021-02-12,2021-02-12 00:00:00-07:00,10.0,15.0,0,,
2021-02-13,2021-02-13 00:00:00-07:00,10.0,15.0,2,6.691666666666666,0.6916666666666673
2021-02-14,2021-02-14 00:00:00-07:00,10.0,15.0,11,4.6,6.308333333333334
2021-02-15,2021-02-15 00:00:00-07:00,10.0,15.0,0,,
2021-02-16,2021-02-16 00:00:00-07:00,10.0,15.0,5,4.0,6.0
2021-02-17,2021-02-17 00:00:00-07:00,10.0,15.0,7,4.0,5.0
2021-02-18,2021-02-18 00:00:00-07:00,10.0,15.0,11,8.0,7.0
2021-02-19,2021-02-19 00:00:00-07:00,10.0,15.0,4,2.0,3.0
2021-02-20,2021-02-20 00:00:00-07:00,10.0,15.0,2,6.0,4.0
2021-02-21,2021-02-21 00:00:00-07:00,10.0,15.0,8,5.0,5.004166666666666
2021-02-22,2021-02-22 00:00:00-07:00,10.0,15.0,2,4.0,2.0
2021-02-23,2021-02-23 00:00:00-07:00,10.0,15.0,1,2.0,0.0
2021-02-24,2021-02-24 00:00:00-07:00,10.0,15.0,0,,
2021-02-25,2021-02-25 00:00:00-07:00,10.0,15.0,3,4.0,1.0
2021-02-26,2021-02-26 00:00:00-07:00,10.0,15.0,1,4.0,0.0
2021-02-27,2021-02-27 00:00:00-07:00,10.0,15.0,2,2.0,0.0
2021-02-28,2021-02-28 00:00:00-07:00,10.0,15.0,3,2.0,8.0
2021-03-01,2021-03-01 00:00:00-07:00,10.0,15.0,5,5.933333333333334,4.0
2021-03-02,2021-03-02 00:00:00-07:00,10.0,15.0,5,4.0,6.0
2021-03-03,2021-03-03 00:00:00-07:00,10.0,15.0,2,3.0,1.0
2021-03-04,2021-03-04 00:00:00-07:00,10.0,15.0,3,2.0,17.0
2021-03-05,2021-03-05 00:00:00-07:00,10.0,15.0,6,2.0,1.5
2021-03-06,2021-03-06 00:00:00-07:00,10.0,15.0,5,2.0,2.0
2021-03-07,2021-03-07 00:00:00-07:00,10.0,15.0,3,6.0,2.0
2021-03-08,2021-03-08 00:00:00-07:00,10.0,15.0,5,10.0,24.0
2021-03-09,2021-03-09 00:00:00-07:00,10.0,15.0,1,4.0,0.0
2021-03-10,2021-03-10 00:00:00-07:00,10.0,15.0,8,5.0,4.0
2021-03-11,2021-03-11 00:00:00-07:00,10.0,15.0,10,8.0,6.991666666666667
2021-03-12,2021-03-12 00:00:00-07:00,10.0,15.0,4,9.025,5.037500000000001
2021-03-13,2021-03-13 00:00:00-07:00,10.0,15.0,8,2.0,0.5
2021-03-14,2021-03-14 00:00:00-07:00,13.755777777777775,20.633666666666663,4,4.0,9.504166666666666
2021-03-15,2021-03-15 00:00:00-06:00,10.0,15.0,1,2.0,0.0
2021-03-16,2021-03-16 00:00:00-06:00,10.0,15.0,3,6.0,15.0
2021-03-17,2021-03-17 00:00:00-06:00,10.0,15.0,1,2.0,0.0
2021-03-18,2021-03-18 00:00:00-06:00,10.0,15.0,3,2.0,2.0
2021-03-19,2021-03-19 00:00:00-06:00,10.0,15.0,1,2.0,0.0
2021-03-20,2021-03-20 00:00:00-06:00,10.0,15.0,6,3.0,2.0
2021-03-21,2021-03-21 00:00:00-06:00,10.0,15.0,1,2.0,0.0
2021-03-22,2021-03-22 00:00:00-06:00,10.0,15.0,1,20.0,0.0
2021-03-23,2021-03-23 00:00:00-06:00,10.0,15.0,0,,
2021-03-24,2021-03-24 00:00:00-06:00,10.0,15.0,0,,
2021-03-25,2021-03-25 00:00:00-06:00,10.0,15.0,1,4.0,0.0
2021-03-26,2021-03-26 00:00:00-06:00,10.0,15.0,0,,
2021-03-27,2021-03-27 00:00:00-06:00,10.0,15.0,0,,
2021-03-28,2021-03-28 00:00:00-06:00,10.0,15.0,1,2.0,0.0
2021-03-29,2021-03-29 00:00:00-06:00,10.0,15.0,1,2.0,0.0
2021-03-30,2021-03-30 00:00:00-06:00,10.0,15.0,0,,
2021-03-31,2021-03-31 00:00:00-06:00,10.0,15.0,0,,
2021-04-01,2021-04-01 00:00:00-06:00,10.0,15.0,2,4.0,2.0
2021-04-02,2021-04-02 00:00:00-06:00,10.0,15.0,0,,
2021-04-03,2021-04-03 00:00:00-06:00,10.0,15.0,0,,
2021-04-04,2021-04-04 00:00:00-06:00,10.750555555555556,16.125833333333333,1,8.0,0.0
2021-04-05,2021-04-05 00:00:00-06:00,10.0,15.0,1,2.0,0.0
2021-04-06,2021-04-06 00:00:00-06:00,10.0,15.0,0,,
2021-04-07,2021-04-07 00:00:00-06:00,10.0,15.0,1,4.0,0.0
2021-04-08,2021-04-08 00:00:00-06:00,10.0,15.0,0,,
2021-04-09,2021-04-09 00:00:00-06:00,10.0,15.0,1,2.0,0.0
2021-04-10,2021-04-10 00:00:00-06:00,10.0,15.0,0,,
